Time,Numerical,Analytical,Relative Error
0.0,1.0,1.0,0.0
0.1,0.9090909090909091,0.9048374180359595,0.004700834614225141
0.2,0.8264462809917354,0.8187307530779818,0.009423767074520462
0.30000000000000004,0.7513148009015777,0.7408182206817179,0.014168901259205776
0.4,0.6830134553650705,0.6703200460356393,0.01893634153491557
0.5,0.6209213230591549,0.6065306597126334,0.023726192758894694
0.6000000000000001,0.5644739300537771,0.5488116360940264,0.028538560281304495
0.7000000000000001,0.5131581182307065,0.49658530379140947,0.033373549947540104
0.8,0.4665073802097331,0.44932896411722156,0.038231268100558054
0.9,0.4240976183724846,0.4065696597405991,0.04311182158321588
1.0,0.3855432894295314,0.36787944117144233,0.048015317740621524
1.1,0.35049389948139215,0.33287108369807955,0.05294186442249465
1.2000000000000002,0.31863081771035645,0.301194211912202,0.057891569985538724
1.3,0.2896643797366877,0.2725317930340126,0.06286454329582349
1.4000000000000001,0.2633312543060797,0.24659696394160643,0.06786089373118107
1.5,0.23939204936916333,0.22313016014842982,0.0728807311836098
1.6,0.21762913579014848,0.20189651799465538,0.07792416606169289
1.7000000000000002,0.19784466890013497,0.1826835240527346,0.08299130929302549
1.8,0.17985878990921358,0.16529888822158653,0.08808227232665478
1.9000000000000001,0.1635079908265578,0.14956861922263504,0.0931971671355326
2.0,0.14864362802414344,0.1353352832366127,0.0983361062189759
2.1,0.13513057093103947,0.1224564282529819,0.1034992026051433
2.2,0.12284597357367223,0.11080315836233387,0.10868656985351931
2.3000000000000003,0.11167815779424747,0.1002588437228037,0.1138983220574133
2.4000000000000004,0.10152559799477043,0.09071795328941247,0.11913457384646814
2.5,0.09229599817706402,0.0820849986238988,0.12439544038918116
2.6,0.08390545288824001,0.07427357821433388,0.12968103739543957
2.7,0.07627768444385455,0.06720551273974976,0.13499148111906173
2.8000000000000003,0.06934334949441322,0.06081006262521795,0.1403268883603568
2.9000000000000004,0.06303940863128474,0.05502322005640721,0.14568737646869284
3.0,0.057308553301167936,0.049787068367863944,0.15107306334507706
3.1,0.052098684819243575,0.0450492023935578,0.15648406744475182
3.2,0.047362440744766886,0.04076220397836621,0.1619205077797959
3.3000000000000003,0.04305676431342444,0.036883167401239994,0.16738250392174533
3.4000000000000004,0.03914251301220403,0.033373269960326066,0.17287017600422155
3.5,0.0355841027383673,0.0301973834223185,0.17838364472557383
3.6,0.03234918430760663,0.02732372244729256,0.18392303135153654
3.7,0.02940834937055148,0.024723526470339388,0.18948845771789208
3.8000000000000003,0.026734863064137707,0.02237077185616559,0.19508004623315364
3.9000000000000004,0.024304420967397912,0.02024191144580438,0.20069791988125624
4.0,0.022094928152179918,0.01831563888873418,0.20634220222426167
4.1000000000000005,0.02008629832016356,0.016572675401761237,0.21201301740507864
4.2,0.01826027120014869,0.014995576820477703,0.21771049015018729
4.3,0.01660024654558972,0.013568559012200934,0.22343474577238984
4.4,0.01509113322326338,0.012277339903068436,0.22918591017356305
4.5,0.013719212021148525,0.011108996538242306,0.2349641098474241
4.6000000000000005,0.01247201092831684,0.010051835744633576,0.2407694718823212
4.7,0.011338191753015309,0.009095277101695816,0.24660212396401884
4.800000000000001,0.010307447048195735,0.008229747049020023,0.25246219437851597
4.9,0.009370406407450666,0.007446583070924338,0.25834981201485824
5.0,0.008518551279500606,0.006737946999085467,0.26426510636798095
5.1000000000000005,0.007744137526818732,0.006096746565515633,0.2702082075415531
5.2,0.0070401250243806645,0.0055165644207607716,0.2761792462508366
5.300000000000001,0.006400113658527876,0.004991593906910213,0.28217835382556883
5.4,0.0058182851441162505,0.004516580942612666,0.2882056622128418
5.5,0.005289350131014773,0.004086771438464067,0.29426130398001216
5.6000000000000005,0.004808500119104339,0.003697863716482929,0.30034541231761397
5.7,0.004371363744640307,0.003345965457471272,0.3064581210422849
5.800000000000001,0.003973967040582098,0.0030275547453758127,0.3125995645997166
5.9,0.0036126973096200885,0.0027394448187683684,0.3187698780676032
6.0,0.0032842702814728075,0.0024787521766663585,0.32496919715862027
6.1000000000000005,0.00298570025588437,0.002242867719485801,0.33119765822340624
6.2,0.0027142729598948817,0.002029430636295734,0.3374553982535576
6.300000000000001,0.0024675208726317103,0.0018363047770289056,0.34374255488465066
6.4,0.0022432007933015545,0.001661557273173934,0.35005926639925905
6.5,0.0020392734484559584,0.0015034391929775724,0.35640567173000354
6.6000000000000005,0.0018538849531417802,0.0013603680375478928,0.3627819104626036
6.7,0.0016853499574016183,0.001230911902673481,0.3691881228389456
6.800000000000001,0.001532136324910562,0.0011137751478448024,0.3756244497601733
6.9,0.001392851204464147,0.0010077854290485105,0.3820910327897797
7.0,0.001266228367694679,0.0009118819655545162,0.38858801415672745
7.1000000000000005,0.0011511166979042537,0.0008251049232659038,0.3951155367585743
7.2,0.0010464697253675032,0.0007465858083766792,0.40167374416461166
7.300000000000001,0.0009513361139704574,0.0006755387751938437,0.4082627806190318
7.4,0.0008648510127004157,0.0006112527611295723,0.41488279104409004
7.5,0.0007862281933640143,0.0005530843701478336,0.42153392104330084
7.6000000000000005,0.0007147529030581948,0.0005004514334406104,0.4282163169046372
7.7,0.0006497753664165407,0.00045282718288679695,0.43493012560374306
7.800000000000001,0.0005907048785604914,0.00040973497897978643,0.441675494807176
7.9,0.0005370044350549921,0.0003707435404590882,0.44845257287564505
8.0,0.00048818585004999283,0.00033546262790251185,0.45526150886728156
8.1,0.0004438053182272662,0.0003035391380788668,0.46210245254091376
8.200000000000001,0.00040345938020660557,0.00027465356997214205,0.4689755543593634
8.3,0.00036678125473327776,0.00024851682710795185,0.47588096549274583
8.4,0.00033343750430297976,0.0002248673241788482,0.4828188378218095
8.5,0.00030312500391179977,0.00020346836901064417,0.48978932394126673
8.6,0.0002755681853743634,0.0001841057936675792,0.4967925771631521
8.700000000000001,0.00025051653215851213,0.00016658581098763324,0.5038287515201977
8.8,0.00022774230196228375,0.0001507330750954765,0.5108980017692102
8.9,0.00020703845632934884,0.0001363889264820114,0.5180004833944898
9.0,0.0001882167784812262,0.00012340980408667956,0.5251363526112404
9.1,0.00017110616225566019,0.00011166580849011478,0.5323057663690078
9.200000000000001,0.0001555510565960547,0.00010103940183709324,0.5395088823551341
9.3,0.0001414100514509588,9.142423147817327e-05,0.5467458589982154
9.4,0.00012855459222814436,8.272406555663223e-05,0.5540168554716031
9.5,0.00011686781111649487,7.48518298877006e-05,0.5613220316968924
9.600000000000001,0.00010624346465135897,6.772873649085378e-05,0.5686615483474478
9.700000000000001,9.658496786487178e-05,6.128349505322202e-05,0.5760355668519228
9.8,8.780451624079252e-05,5.5451599432176945e-05,0.5834442493978294
9.9,7.982228749162955e-05,5.017468205617528e-05,0.5908877589350936
10.0,7.25657159014814e-05,4.5399929762484854e-05,0.5983662591796418
10.100000000000001,6.596883263771036e-05,4.107955522530065e-05,0.6058799146170052
10.200000000000001,5.9971666034282135e-05,3.7170318684126666e-05,0.6134288905059249
10.3,5.4519696394801936e-05,3.363309518571897e-05,0.6210133528820053
10.4,4.956336035891085e-05,3.0432483008403625e-05,0.6286334685613535
10.5,4.505760032628259e-05,2.7536449349747158e-05,0.6362894051442515
10.600000000000001,4.096145484207508e-05,2.491600973150316e-05,0.6439813310188457
10.700000000000001,3.723768622006825e-05,2.254493791321217e-05,0.6517094153648384
10.8,3.3852442018243866e-05,2.0399503411171922e-05,0.6594738281572263
10.9,3.0774947289312605e-05,1.8458233995780558e-05,0.6672747401700279
11.0,2.7977224808466002e-05,1.670170079024566e-05,0.6751123229800415
11.100000000000001,2.543384073496909e-05,1.5112323819855006e-05,0.6829867489706233
11.200000000000001,2.3121673395426444e-05,1.3674196065680938e-05,0.690898191335466
11.3,2.101970308675131e-05,1.2372924261788221e-05,0.6988468240824257
11.4,1.9108820987955737e-05,1.119548484259094e-05,0.706832822037338
11.5,1.7371655443596123e-05,1.013009359863071e-05,0.7148563608478661
11.600000000000001,1.5792414039632837e-05,9.166087736247602e-06,0.7229176169873659
11.700000000000001,1.4356740036029851e-05,8.293819160757357e-06,0.7310167677587576
11.8,1.3051581850936228e-05,7.504557915076858e-06,0.7391539912984414
11.9,1.1865074409942025e-05,6.79040480737947e-06,0.7473294665802044
12.0,1.0786431281765476e-05,6.14421235332821e-06,0.7555433734191592
12.100000000000001,9.805846619786795e-06,5.559513241650137e-06,0.7637958924757037
12.200000000000001,8.914406017987995e-06,5.030455607111439e-06,0.7720872052594809
12.3,8.104005470898176e-06,4.551744463083231e-06,0.7804174941333893
12.4,7.367277700816523e-06,4.118588707535708e-06,0.7887869423175825
12.5,6.697525182560476e-06,3.726653172078671e-06,0.7971957338935024
12.600000000000001,6.088659256873159e-06,3.3720152341391786e-06,0.8056440538079289
12.700000000000001,5.535144778975598e-06,3.051125558036417e-06,0.8141320878770382
12.8,5.031949799068726e-06,2.7607725720371986e-06,0.8226600227905064
12.9,4.5744998173352045e-06,2.498050325866635e-06,0.8312280461156035
13.0,4.158636197577458e-06,2.2603294069810542e-06,0.8398363463013226
13.100000000000001,3.7805783614340527e-06,2.045230624523486e-06,0.8484851126825279
13.200000000000001,3.4368894194855023e-06,1.8506011975819048e-06,0.8571745354841049
13.3,3.1244449268050017e-06,1.674493209434266e-06,0.8659048058251652
13.4,2.8404044789136376e-06,1.515144112143249e-06,0.8746761157232363
13.5,2.5821858899214884e-06,1.3709590863840845e-06,0.8834886580984881
13.600000000000001,2.347441718110444e-06,1.2404950799567113e-06,0.8923426267779804
13.700000000000001,2.134037925554949e-06,1.1224463652343422e-06,0.9012382164999113
13.8,1.940034477777226e-06,1.0156314710024903e-06,0.9101756229179209
13.9,1.7636677070702055e-06,9.189813578979571e-07,0.9191550426053817
14.0,1.603334279154732e-06,8.315287191035679e-07,0.928176673059725
14.100000000000001,1.4575766174133928e-06,7.523982992164199e-07,0.9372407127067883
14.200000000000001,1.3250696521939933e-06,6.807981343976331e-07,0.9463473609051655
14.3,1.204608774721812e-06,6.160116261320527e-07,0.9554968179506134
14.4,1.095098886110738e-06,5.573903692694596e-07,0.9646892850804419
14.5,9.955444419188527e-07,5.04347662567888e-07,0.9739249644779444
14.600000000000001,9.050404017444114e-07,4.563526367903986e-07,0.9832040592768478
14.700000000000001,8.227640015858285e-07,4.1292494158732645e-07,0.9925267735657672
14.8,7.47967274168935e-07,3.73629937988526e-07,1.0018933123927147
14.9,6.799702492444862e-07,3.3807434839047367e-07,1.0113038817695954
15.0,6.18154772040442e-07,3.059023205018258e-07,1.0207586886767424
15.100000000000001,5.61958883673129e-07,2.7679186585408023e-07,1.0302579410674728
15.200000000000001,5.108717124301172e-07,2.504516372327617e-07,1.0398018478726472
15.3,4.644288294819247e-07,2.26618012776571e-07,1.0493906190052864
15.4,4.222080268017497e-07,2.0505245756119267e-07,1.0590244653651737
15.5,3.838254789106815e-07,1.8553913626159784e-07,1.0687035988434976
15.600000000000001,3.48932253555165e-07,1.6788275299956603e-07,1.0784282323275158
15.700000000000001,3.1721113959560453e-07,1.5190659675689612e-07,1.0881985797052232
15.8,2.8837376326873134e-07,1.374507727921396e-07,1.0980148558700762
15.9,2.6215796660793756e-07,1.2437060236028695e-07,1.107877276725708
16.0,2.3832542418903413e-07,1.1253517471925912e-07,1.1177860591906776
